vendor_code,name,brand,series,color,backset,center_distance,package_type,purpose,mounting_type,bolt_type,bolt_count,bolt_throw,bolt_diameter,mechanism_type,key_type,key_count,cylinder_included,cylinder_size,cylinder_material
Замок врезной противопожарный Avers 2002-ZN (B2B),Замок врезной противопожарный Avers 2002-ZN (B2B),Avers,2002,,65 мм,72 мм,Пакет,Противопожарный,Винты,Классический/Прямоугольный,,14 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 7000-40-NI,Замок врезной Apecs 7000-40-NI,Apecs,7000,NI,40 мм,92 мм,Пакет,Двери из ПВХ профиля,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
"Замок врезной сувальдный Avers T-37_S6-CR (w_o BP,","Замок врезной сувальдный Avers T-37/S6-CR (w/o BP, w/o DP, 5 keys, shank 60mm)",Avers,37/,CR,68 мм,,Коробка,Общее,Лицевая планка,Цилиндрические,3,26 мм,16 мм,Сувальдный с двойной бородкой,,5 шт,,,
Замок врезной Avers 0823_60-NI,Замок врезной Avers 0823/60-NI,Avers,0823/60,NI,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной Avers 2226_70-CR_NIS,Замок врезной Avers 2226/70-CR/NIS,Avers,2226/70,CR,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,35/35 мм,ЦАМ
Замок врезной Avers 0827_60-C-AB,Замок врезной Avers 0827/60-C-AB,Avers,0827/60,AB,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной противопожарный Apecs 1900-ZN,Замок врезной противопожарный Apecs 1900-ZN,Apecs,1900,,65 мм,72 мм,Пакет,Противопожарный,Винты,Классический/Прямоугольный,,21 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Avers 0827_60-AB,Замок врезной Avers 0827/60-AB,Avers,0827/60,AB,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной Apecs 6000-WC_S-G,Замок врезной Apecs 6000-WC/S-G,Apecs,6000,G,45 мм,72 мм,Пакет,Межкомнатные двери с четвертью,Саморезы,Классический/Прямоугольный,,15 мм,,Сувальдный,,1 шт,,,
Замок врезной Avers 1023_60-AC,Замок врезной Avers 1023/60-AC,Avers,1023/60,AC,40 мм,61.5 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,18 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,ЦАМ
Замок врезной Avers ЗВ4-1-8 (бронза),Замок врезной Avers ЗВ4-1-8 (бронза),Avers,4,,55 мм,55 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,23 мм,12 мм,Цилиндровый,Английский,4 шт,Комплектуется,35/35 мм,ЦАМ
Замок врезной Apecs 1425-AB,Замок врезной Apecs 1425-AB,Apecs,1425,AB,55 мм,58.5 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Avers 1023_60-CR,Замок врезной Avers 1023/60-CR,Avers,1023/60,CR,40 мм,61.5 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,18 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,ЦАМ
Замок врезной Apecs 1601-AB,Замок врезной Apecs 1601-AB,Apecs,1601,AB,55 мм,55 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 72-K-CR,Замок врезной Apecs 72-K-CR,Apecs,72,CR,20 мм,,Коробка,Узкопрофильные двери,Лицевая планка,Крюкообразный,,18 мм,,Цилиндровый,,5 шт,,,
Замок врезной Avers ЗВ4-1-8 (белый),Замок врезной Avers ЗВ4-1-8 (белый),Avers,4,,55 мм,55 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,23 мм,12 мм,Цилиндровый,Английский,4 шт,Комплектуется,35/35 мм,ЦАМ
Замок врезной Apecs 8300-M-INOX,Замок врезной Apecs 8300-M-INOX,Apecs,8300,,55 мм,72 мм,Коробка,Межкомнатные двери,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 1227_60-G_GM,Замок врезной Apecs 1227/60-G/GM,Apecs,1227/60,G,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной противопожарный Avers 2000-Panic-ZN,Замок врезной противопожарный Avers 2000-Panic-ZN,Avers,2000,,65 мм,72 мм,Пакет,Противопожарный,Винты,Классический/Прямоугольный,,14 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 90-K-CR,Замок врезной Apecs 90-K-CR,Apecs,90,CR,45 мм,,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,23 мм,,Цилиндровый,,5 шт,,,
Замок врезной противопожарный Apecs 1900-INOX,Замок врезной противопожарный Apecs 1900-INOX,Apecs,1900,,65 мм,72 мм,Пакет,Противопожарный,Лицевая планка,Классический/Прямоугольный,,21 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Avers 2210_60-BN,Замок врезной Avers 2210/60-BN,Avers,2210/60,,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,ЦАМ
Замок врезной Apecs 7300-20-R-NIS,Замок врезной Apecs 7300-20-R-NIS,Apecs,7300,NI,20 мм,,Пакет,Двери из алюминиевого профиля,Лицевая планка,Классический/Прямоугольный,,15 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 7300-25-R-NIS,Замок врезной Apecs 7300-25-R-NIS,Apecs,7300,NI,25 мм,,Пакет,Двери из алюминиевого профиля,Лицевая планка,Классический/Прямоугольный,,15 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной сувальдный Avers ЗВ9-4-1-4 (бронза),Замок врезной сувальдный Avers ЗВ9-4-1-4 (бронза),Avers,9,,55 мм,55 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,23 мм,12 мм,Сувальдный с двойной бородкой,,3 шт,,,
Замок врезной Avers 1223_60-CR,Замок врезной Avers 1223/60-CR,Avers,1223/60,CR,40 мм,70 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,ЦАМ
Замок врезной Avers T-0523-C-AB-R,Замок врезной Avers T-0523-C-AB-R,Avers,0523,AB,60 мм,80 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,25 мм,18 мм,Цилиндровый,,,Не комплектуется,,
Замок врезной Avers 0823_60-C-G,Замок врезной Avers 0823/60-C-G,Avers,0823/60,G,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной Apecs 1523_60-AC,Замок врезной Apecs 1523/60-AC,Apecs,1523/60,AC,45 мм,70 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 1425-G,Замок врезной Apecs 1425-G,Apecs,1425,G,55 мм,58.5 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 7000-45-R-NI,Замок врезной Apecs 7000-45-R-NI,Apecs,7000,NI,45 мм,,Пакет,Двери из ПВХ профиля,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,,,Не комплектуется,,
Замок врезной Apecs 1323_60-NI,Замок врезной Apecs 1323/60-NI,Apecs,1323/60,NI,40 мм,80 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,20 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Avers 0823_60-G,Замок врезной Avers 0823/60-G,Avers,0823/60,G,40 мм,50 мм,Коробка,Общее,Лицевая планка,Классический/Прямоугольный,,16 мм,,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Алюминий
Замок врезной Apecs 2210_60-B_G,Замок врезной Apecs 2210/60-B/G,Apecs,2210/60,G,45 мм,85 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,20 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
Замок врезной Apecs 1023_60-G,Замок врезной Apecs 1023/60-G,Apecs,1023/60,G,40 мм,61.5 мм,Коробка,Общее,Лицевая планка,Цилиндрические,3,18 мм,12 мм,Цилиндровый,Английский,5 шт,Комплектуется,30/30 мм,Латунь
