vendor_code,name,brand,series,color,backset,center_distance,bolt_count,bolt_throw,bolt_diameter,mechanism_type,key_type,key_count,cylinder_included,cylinder_size,cylinder_material,mounting_type,purpose,package_type
Замок врезной Avers 1023_60-AC,Замок врезной Avers 1023/60-AC,Avers,1023/60,AC,40.0,61.5,3,18,12,cylindrical,flat key,5,included,30/30,ZAMAK,faceplate,general,box
Замок врезной Avers ЗВ4-1-8 (бронза),Замок врезной Avers ЗВ4-1-8 (бронза),Avers,4,,55.0,55.0,3,23,12,cylindrical,flat key,4,included,35/35,ZAMAK,faceplate,general,box
Замок врезной Apecs 1425-AB,Замок врезной Apecs 1425-AB,Apecs,1425,AB,55.0,58.5,,20,,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Avers 1023_60-CR,Замок врезной Avers 1023/60-CR,Avers,1023/60,CR,40.0,61.5,3,18,12,cylindrical,flat key,5,included,30/30,ZAMAK,faceplate,general,box
Замок врезной Apecs 1601-AB,Замок врезной Apecs 1601-AB,Apecs,1601,AB,55.0,55.0,,20,,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Apecs 72-K-CR,Замок врезной Apecs 72-K-CR,Apecs,72,CR,20.0,0.0,,18,,cylindrical,,5,,,,faceplate,Узкопрофильные двери,box
Замок врезной Avers ЗВ4-1-8 (белый),Замок врезной Avers ЗВ4-1-8 (белый),Avers,4,,55.0,55.0,3,23,12,cylindrical,flat key,4,included,35/35,ZAMAK,faceplate,general,box
Замок врезной Apecs 8300-M-INOX,Замок врезной Apecs 8300-M-INOX,Apecs,8300,,55.0,72.0,,20,,cylindrical,,,not included,,,faceplate,interior doors,box
Замок врезной Apecs 1227_60-G_GM,Замок врезной Apecs 1227/60-G/GM,Apecs,1227/60,G,40.0,70.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной противопожарный Avers 2000-Panic-ZN,Замок врезной противопожарный Avers 2000-Panic-ZN,Avers,2000,,65.0,72.0,,14,,cylindrical,,,not included,,,bolts,fireproof,pack
Замок врезной Apecs 90-K-CR,Замок врезной Apecs 90-K-CR,Apecs,90,CR,45.0,0.0,,23,,cylindrical,,5,,,,faceplate,general,box
Замок врезной противопожарный Apecs 1900-INOX,Замок врезной противопожарный Apecs 1900-INOX,Apecs,1900,,65.0,72.0,,21,,cylindrical,,,not included,,,faceplate,fireproof,pack
Замок врезной Avers 2210_60-BN,Замок врезной Avers 2210/60-BN,Avers,2210/60,,45.0,85.0,3,20,12,cylindrical,flat key,5,included,30/30,ZAMAK,faceplate,general,box
Замок врезной Apecs 7300-20-R-NIS,Замок врезной Apecs 7300-20-R-NIS,Apecs,7300,NI,20.0,0.0,,15,,cylindrical,,,not included,,,faceplate,aluminum profile doors,pack
Замок врезной Apecs 7300-25-R-NIS,Замок врезной Apecs 7300-25-R-NIS,Apecs,7300,NI,25.0,0.0,,15,,cylindrical,,,not included,,,faceplate,aluminum profile doors,pack
Замок врезной сувальдный Avers ЗВ9-4-1-4 (бронза),Замок врезной сувальдный Avers ЗВ9-4-1-4 (бронза),Avers,9,,55.0,55.0,3,23,12,sdeadbolt with double bit,,3,,,,faceplate,general,box
Замок врезной Avers 1223_60-CR,Замок врезной Avers 1223/60-CR,Avers,1223/60,CR,40.0,70.0,,20,,cylindrical,flat key,5,included,30/30,ZAMAK,faceplate,general,box
Замок врезной Avers T-0523-C-AB-R,Замок врезной Avers T-0523-C-AB-R,Avers,0523,AB,60.0,80.0,3,25,18,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Avers 0823_60-C-G,Замок врезной Avers 0823/60-C-G,Avers,0823/60,G,40.0,50.0,,16,,cylindrical,flat key,5,included,30/30,aluminum,faceplate,general,box
Замок врезной Apecs 1523_60-AC,Замок врезной Apecs 1523/60-AC,Apecs,1523/60,AC,45.0,70.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 1425-G,Замок врезной Apecs 1425-G,Apecs,1425,G,55.0,58.5,,20,,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Apecs 7000-45-R-NI,Замок врезной Apecs 7000-45-R-NI,Apecs,7000,NI,45.0,0.0,,20,,cylindrical,,,not included,,,faceplate,PVC profile doors,pack
Замок врезной Apecs 1323_60-NI,Замок врезной Apecs 1323/60-NI,Apecs,1323/60,NI,40.0,80.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Avers 0823_60-G,Замок врезной Avers 0823/60-G,Avers,0823/60,G,40.0,50.0,,16,,cylindrical,flat key,5,included,30/30,aluminum,faceplate,general,box
Замок врезной Apecs 2210_60-B_G,Замок врезной Apecs 2210/60-B/G,Apecs,2210/60,G,45.0,85.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 1023_60-G,Замок врезной Apecs 1023/60-G,Apecs,1023/60,G,40.0,61.5,3,18,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
